Day,type,Lot Name,Lot Number,Total Spaces,7:00 am,11:00 am,2:00 pm,4:00 pm
m,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
m,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,37% Full,100% Full,100% Full,100% Full
m,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,64% Full,96% Full,100% Full,100% Full
m,B Permit,Forestry Ln. Lot,On Street,15,86% Full,86% Full,86% Full,86% Full
m,B Permit,Hospital Ln. Lot,On Street,16,0% Full,0% Full,100% Full,100% Full
m,B Permit,Infirmary Rd. Lot,On Street,38,27% Full,100% Full,87% Full,87% Full
m,B Permit,Tower Dr. B Lot,On Street,58,75% Full,80% Full,80% Full,85% Full
m,B Permit,Parade Grounds North Lot,On Street,40,57% Full,95% Full,90% Full,100% Full
m,B Permit,Parade Grounds South Lot,On Street,61,53% Full,100% Full,100% Full,100% Full
m,B Permit,North Stadium Dr. Lot,On Street,27,22% Full,85% Full,93% Full,93% Full
m,B Permit,Parker Coliseum B Lot,On Street,37,20% Full,92% Full,100% Full,92% Full
