Day,type,Lot Name,Lot Number,Total Spaces,0700,1100,1400,1600
monday,B Permit,Nelson Memorial B Lot,603,29,10% Full,52% Full,45% Full,52% Full
monday,B Permit,Tiger Band Hall B Lot,214 B,6,100% Full,20% Full,100% Full,100% Full
monday,B Permit,The 5 B Lot,221 A,24,95% Full,92% Full,95% Full,85% Full
monday,B Permit,Cogen Lot,301 A,26,54% Full,100% Full,88% Full,73% Full
monday,B Permit,Electrical Engineering B Lot,304 A,117,41% Full,95% Full,96% Full,73% Full
monday,B Permit,Facility Services Lot (Fieldhouse Dr.),304 C,75,80% Full,97% Full,99% Full,93% Full
monday,B Permit,Sturgis Hall B Lot (312A),312 B,70,5% Full,92% Full,92% Full,77% Full
monday,B Permit,E.B. Doran Hall Lot,312 D,44,16% Full,100% Full,95% Full,74% Full
monday,B Permit,ECE B Lot,402 B,60,2% Full,6% Full,5% Full,8% Full
monday,B Permit,E.B Doran Hall (Gravel) Lot,On Street,19,16% Full,100% Full,95% Full,74% Full
monday,B Permit,South Quad B (Gravel) Lot,403 A,55,1% Full,14% Full,7% Full,7% Full
monday,B Permit,Engineering Ln. Lot,On Street,56,14% Full,28% Full,39% Full,23% Full
monday,B Permit,Fieldhouse Dr. (Alaska St.) Lot,On Street,19,37% Full,100% Full,100% Full,100% Full
monday,B Permit,Fieldhouse Dr. (S. Campus Dr.) Lot,On Street,45,64% Full,96% Full,100% Full,100% Full
monday,B Permit,Forestry Ln. Lot,On Street,15,86% Full,86% Full,86% Full,86% Full
monday,B Permit,Hospital Ln. Lot,On Street,16,0% Full,0% Full,100% Full,100% Full
monday,B Permit,Infirmary Rd. Lot,On Street,38,27% Full,100% Full,87% Full,87% Full
monday,B Permit,Tower Dr. B Lot,On Street,58,75% Full,80% Full,80% Full,85% Full
monday,B Permit,Parade Grounds North Lot,On Street,40,57% Full,95% Full,90% Full,100% Full
monday,B Permit,Parade Grounds South Lot,On Street,61,53% Full,100% Full,100% Full,100% Full
monday,B Permit,North Stadium Dr. Lot,On Street,27,22% Full,85% Full,93% Full,93% Full
monday,B Permit,Parker Coliseum B Lot,On Street,37,20% Full,92% Full,100% Full,92% Full
tuesday,Commuter,West Stadium Lot,101,221,27% Full,16% Full,17% Full,30% Full
tuesday,Commuter,Bernie Moore Lot,104,191,6% Full,14% Full,15% Full,3% Full
tuesday,Commuter,Natatorium Lot,105,315,1% full,40% Full,40% Full,2% Full
tuesday,Commuter,Touchdown Village West Lot,314,1364,16% Full,93% Full,93% Full,71% Full
tuesday,Commuter,Touchdown Village East Lot,315,1221,12% Full,92% Full,92% Full,30% Full
tuesday,Commuter,West Parker Blvd. Lot,316,206,12% Full,16% Full,10% Full,4% Full
tuesday,Commuter,South Stadium East Lot,401,328,5% Full,96% Full,97% Full,6% Full
tuesday,Commuter,South Stadium West Lot,401,529,4% Full,98% Full,98% Full,6% Full
tuesday,Commuter,South Quad Dr. West Lot,403,441,5% Full,96% Full,97% Full,6% Full
tuesday,Commuter,Skip Bertman Dr. East Lot,404,641,2% Full,28% Full,25% Full,20% Full
tuesday,Commuter,East Parker Blvd. Lot,604,504,13% Full,47% Full,42% Full,16% Full
tuesday,Commuter,ECE West Lot,402,285,15% Full,87% Full,86% Full,36% Full
tuesday,Commuter,Parker Coliseum Lot,600,494,28% Full,100% Full,97% Full,72% Full
tuesday,Residential,Canal Hall North Lot,111,85,98% Full,93% Full,89% Full,87% Full
tuesday,Residential,Nicholson Gateway North Lot,112,423,99% Full,97% Full,93% Full,94% Full
tuesday,Residential,Beach Volleyball Lot,206,121,98% Full,100% Full,100% Full,91% Full
tuesday,Residential,Spruce Hall Lot,210,125,98% Full,98% Full,99% Full,98% Full
tuesday,Residential,Alaska Street Lot (WCA West),211,427,84% Full,85% Full,87% Full,82% Full
tuesday,Residential,Kirby Smith Hall Lot,211,189,99% Full,98% Full,100% Full,100% Full
tuesday,Residential,North Kirby Smith Hall Lot (WCA North),211,219,33% Full,42% Full,36% Full,26% Full
tuesday,Residential,Aster Street West Lot,212,176,2% Full,19% Full,23% Full,5% Full
tuesday,Residential,Aster Street East Lot,213,200,11% Full,10% Full,9% Full,5% Full
tuesday,Residential,Alaska Street East Lot (Cypress Dr. North),219,266,65% Full,67% Full,69% Full,63% Full
tuesday,Residential,Broussard Circle Lot,220,19,95% Full,90% Full,84% Full,95% Full
tuesday,Residential,Pentagon Lot,220,65,97% Full,100% Full,98% Full,91% Full
tuesday,Residential,Acadian Lot,506,141,96% Full,100% Full,100% Full,99% Full
tuesday,Residential,Blake Hall Lot,507,93,99% Full,98% Full,98% Full,98% Full
tuesday,Residential,Campus Lake Gravel Lot,508,134,93% Full,99% Full,98% Full,98% Full
tuesday,Residential,Herget Hall Lot,508,230,98% Full,99% Full,99% Full,99% Full
tuesday,Residential,Miller Hall Lot,508,177,99% Full,99% Full,100% Full,100% Full
tuesday,Residential,Hill Farm Student Lot,515,298,0% Full,0% Full,2% Full,5% Full
tuesday,Residential,Student Rec West Lot,517,100,96% Full,94% Full,98% Full,96% Full
tuesday,Residential,Parker Coliseum Lot,600,494,28% Full,100% Full,97% Full,72% Full
tuesday,Residential,South Stadium Dr. East Lot,601,125,0% Full,94% Full,98% Full,0% Full
tuesday,Residential,Nicholson Gateway Garage (Level 1),701,134,98% Full,99% Full,89% Full,92% Full
